tariefeenheid,tweede_klas_vol_tarief,tweede_klas_20_korting,tweede_klas_40_korting,eerste_klas_vol_tarief,eerste_klas_20_korting,eerste_klas_40_korting
119,19.20,15.40,11.50,32.60,26.10,19.60
120,19.30,15.40,11.60,32.80,26.20,19.70
121,19.40,15.50,11.60,33.00,26.40,19.80
122,19.50,15.60,11.70,33.20,26.60,19.90
123,19.60,15.70,11.80,33.30,26.60,20.00
124,19.60,15.70,11.80,33.30,26.60,20.00
125,19.70,15.80,11.80,33.50,26.80,20.10
126,19.80,15.80,11.90,33.70,27.00,20.20
127,19.90,15.90,11.90,33.80,27.00,20.30
128,20.00,16.00,12.00,34.00,27.20,20.40
129,20.00,16.00,12.00,34.00,27.20,20.40
130,20.10,16.10,12.10,34.20,27.40,20.50
131,20.20,16.20,12.10,34.30,27.40,20.60
132,20.30,16.20,12.20,34.50,27.60,20.70
133,20.40,16.30,12.20,34.70,27.80,20.80
134,20.40,16.30,12.20,34.70,27.80,20.80
135,20.50,16.40,12.30,34.90,27.90,20.90
136,20.60,16.50,12.40,35.00,28.00,21.00
137,20.70,16.60,12.40,35.20,28.20,21.10
138,20.80,16.60,12.50,35.40,28.30,21.20
139,20.80,16.60,12.50,35.40,28.30,21.20
140,20.90,16.70,12.50,35.50,28.40,21.30
141,21.00,16.80,12.60,35.70,28.60,21.40
142,21.10,16.90,12.70,35.90,28.70,21.50
143,21.20,17.00,12.70,36.00,28.80,21.60
144,21.20,17.00,12.70,36.00,28.80,21.60
145,21.30,17.00,12.80,36.20,29.00,21.70
146,21.40,17.10,12.80,36.40,29.10,21.80
147,21.50,17.20,12.90,36.60,29.30,22.00
148,21.60,17.30,13.00,36.70,29.40,22.00
149,21.70,17.40,13.00,36.90,29.50,22.10
150,21.70,17.40,13.00,36.90,29.50,22.10
151,21.80,17.40,13.10,37.10,29.70,22.30
152,21.90,17.50,13.10,37.20,29.80,22.30
153,21.90,17.50,13.10,37.20,29.80,22.30
154,22.00,17.60,13.20,37.40,29.90,22.40
155,22.10,17.70,13.30,37.60,30.10,22.60
156,22.10,17.70,13.30,37.60,30.10,22.60
157,22.20,17.80,13.30,37.70,30.20,22.60
158,22.30,17.80,13.40,37.90,30.30,22.70
159,22.30,17.80,13.40,37.90,30.30,22.70
160,22.40,17.90,13.40,38.10,30.50,22.90
161,22.50,18.00,13.50,38.30,30.60,23.00
162,22.50,18.00,13.50,38.30,30.60,23.00
163,22.60,18.10,13.60,38.40,30.70,23.00
164,22.70,18.20,13.60,38.60,30.90,23.20
165,22.70,18.20,13.60,38.60,30.90,23.20
166,22.80,18.20,13.70,38.80,31.00,23.30
167,22.90,18.30,13.70,38.90,31.10,23.30
168,22.90,18.30,13.70,38.90,31.10,23.30
169,23.00,18.40,13.80,39.10,31.30,23.50
170,23.10,18.50,13.90,39.30,31.40,23.60
171,23.10,18.50,13.90,39.30,31.40,23.60
172,23.20,18.60,13.90,39.40,31.50,23.60
173,23.30,18.60,14.00,39.60,31.70,23.80
174,23.30,18.60,14.00,39.60,31.70,23.80
175,23.40,18.70,14.00,39.80,31.80,23.90
176,23.50,18.80,14.10,40.00,32.00,24.00
177,23.50,18.80,14.10,40.00,32.00,24.00
178,23.60,18.90,14.20,40.10,32.10,24.10
179,23.70,19.00,14.20,40.30,32.20,24.20
180,23.70,19.00,14.20,40.30,32.20,24.20
181,23.80,19.00,14.30,40.50,32.40,24.30
182,23.90,19.10,14.30,40.60,32.50,24.40
183,23.90,19.10,14.30,40.60,32.50,24.40
184,24.00,19.20,14.40,40.80,32.60,24.50
185,24.10,19.30,14.50,41.00,32.80,24.60
186,24.20,19.40,14.50,41.10,32.90,24.70
187,24.20,19.40,14.50,41.10,32.90,24.70
188,24.30,19.40,14.60,41.30,33.00,24.80
189,24.30,19.40,14.60,41.30,33.00,24.80
190,24.40,19.50,14.60,41.50,33.20,24.90
191,24.50,19.60,14.70,41.70,33.40,25.00
192,24.50,19.60,14.70,41.70,33.40,25.00
193,24.60,19.70,14.80,41.80,33.40,25.10
194,24.70,19.80,14.80,42.00,33.60,25.20
195,24.80,19.80,14.90,42.20,33.80,25.30
196,24.80,19.80,14.90,42.20,33.80,25.30
197,24.90,19.90,14.90,42.30,33.80,25.40
198,25.00,20.00,15.00,42.50,34.00,25.50
199,25.00,20.00,15.00,42.50,34.00,25.50
200,25.10,20.10,15.10,42.70,34.20,25.60
201,25.10,20.10,15.10,42.70,34.20,25.60
202,25.10,20.10,15.10,42.70,34.20,25.60
203,25.20,20.20,15.10,42.80,34.20,25.70
204,25.20,20.20,15.10,42.80,34.20,25.70
205,25.20,20.20,15.10,42.80,34.20,25.70
206,25.20,20.20,15.10,42.80,34.20,25.70
207,25.20,20.20,15.10,42.80,34.20,25.70
208,25.30,20.20,15.20,43.00,34.40,25.80
209,25.30,20.20,15.20,43.00,34.40,25.80
210,25.30,20.20,15.20,43.00,34.40,25.80
211,25.30,20.20,15.20,43.00,34.40,25.80
212,25.40,20.30,15.20,43.20,34.60,25.90
213,25.40,20.30,15.20,43.20,34.60,25.90
214,25.40,20.30,15.20,43.20,34.60,25.90
215,25.40,20.30,15.20,43.20,34.60,25.90
216,25.50,20.40,15.30,43.40,34.70,26.00
217,25.50,20.40,15.30,43.40,34.70,26.00
218,25.50,20.40,15.30,43.40,34.70,26.00
219,25.50,20.40,15.30,43.40,34.70,26.00
220,25.60,20.50,15.40,43.50,34.80,26.10
221,25.60,20.50,15.40,43.50,34.80,26.10
222,25.60,20.50,15.40,43.50,34.80,26.10
223,25.60,20.50,15.40,43.50,34.80,26.10
224,25.60,20.50,15.40,43.50,34.80,26.10
225,25.70,20.60,15.40,43.70,35.00,26.20
226,25.70,20.60,15.40,43.70,35.00,26.20
227,25.70,20.60,15.40,43.70,35.00,26.20
228,25.70,20.60,15.40,43.70,35.00,26.20
