OBJECTID,GM_NAAM,GM_CODE
230,Aalten,GM0197
231,Culemborg,GM0216
232,Zederik,GM0707
233,Overbetuwe,GM1734
234,Schoonhoven,GM0608
235,Capelle aan den IJssel,GM0502
236,Schiedam,GM0606
237,Lingewaard,GM1705
238,Vlaardingen,GM0622
239,Neder-Betuwe,GM1740
240,Maassluis,GM0556
241,Leerdam,GM0545
242,Westvoorne,GM0614
243,Brielle,GM0501
244,Geldermalsen,GM0236
245,Giessenlanden,GM0689
246,Nederlek,GM0643
247,Krimpen aan den IJssel,GM0542
248,Tiel,GM0281
249,Rijnwaarden,GM0196
250,Ridderkerk,GM0597
251,Druten,GM0225
252,Beuningen,GM0209
253,Nijmegen,GM0268
254,West Maas en Waal,GM0668
255,Lingewaal,GM0733
256,Hellevoetsluis,GM0530
257,Millingen aan de Rijn,GM0265
258,Alblasserdam,GM0482
259,Bernisse,GM0568
260,Albrandswaard,GM0613
261,Barendrecht,GM0489
262,Ubbergen,GM0282
263,Hendrik-Ido-Ambacht,GM0531
264,Spijkenisse,GM0612
265,Wijchen,GM0296
266,Gorinchem,GM0512
267,Neerijnen,GM0304
268,Hardinxveld-Giessendam,GM0523
269,Papendrecht,GM0590
270,Zwijndrecht,GM0642
271,Sliedrecht,GM0610
272,Oud-Beijerland,GM0584
273,Binnenmaas,GM0585
274,Maasdriel,GM0263
275,Oss,GM0828
276,Groesbeek,GM0241
277,Werkendam,GM0870
278,Korendijk,GM0588
279,Zaltbommel,GM0297
280,Dordrecht,GM0505
281,Woudrichem,GM0874
282,Heumen,GM0252
283,Schouwen-Duiveland,GM1676
284,Cromstrijen,GM0611
285,Strijen,GM0617
286,Aalburg,GM0738
287,Mook en Middelaar,GM0944
288,Grave,GM0786
289,Maasdonk,GM1671
290,Landerd,GM1685
291,Drimmelen,GM1719
292,s-Hertogenbosch,GM0796
293,Cuijk,GM1684
294,Gennep,GM0907
295,Heusden,GM0797
296,Bernheze,GM1721
297,Mill en Sint Hubert,GM0815
298,Waalwijk,GM0867
299,Moerdijk,GM1709
300,Geertruidenberg,GM0779
301,Boxmeer,GM0756
302,Uden,GM0856
303,Sint-Michielsgestel,GM0845
304,Vught,GM0865
305,Oosterhout,GM0826
306,Sint Anthonis,GM1702
307,Dongen,GM0766
308,Bergen (L.),GM0893
309,Loon op Zand,GM0809
310,Haaren,GM0788
311,Steenbergen,GM0851
312,Tholen,GM0716
313,Veere,GM0717
314,Schijndel,GM0844
315,Veghel,GM0860
316,Breda,GM0758
317,Tilburg,GM0855
318,Etten-Leur,GM0777
319,Boxtel,GM0757
320,Halderberge,GM1655
321,Vlissingen,GM0718
322,Boekel,GM0755
323,Noord-Beveland,GM1695
324,Gilze en Rijen,GM0784
325,Sint-Oedenrode,GM0846
326,Oisterwijk,GM0824
327,Gemert-Bakel,GM1652
328,Bergen op Zoom,GM0748
329,Roosendaal,GM1674
330,Venray,GM0984
331,Rucphen,GM0840
332,Laarbeek,GM1659
333,Goes,GM0664
334,Kapelle,GM0678
335,Alphen-Chaam,GM1723
336,Oirschot,GM0823
337,Zundert,GM0879
338,Middelburg,GM0687
339,Best,GM0753
340,Reimerswaal,GM0703
341,Hilvarenbeek,GM0798
342,Son en Breugel,GM0848
343,Goirle,GM0785
344,"Nuenen, Gerwen en Nederwetten",GM0820
345,Horst aan de Maas,GM1507
346,Borsele,GM0654
347,Venlo,GM0983
348,Helmond,GM0794
349,Deurne,GM0762
350,Eindhoven,GM0772
351,Woensdrecht,GM0873
352,Eersel,GM0770
353,Geldrop-Mierlo,GM1771
354,Someren,GM0847
355,Asten,GM0743
356,Veldhoven,GM0861
357,Bladel,GM1728
358,Reusel-De Mierden,GM1667
359,Hulst,GM0677
360,Sluis,GM1714
361,Heeze-Leende,GM1658
362,Baarle-Nassau,GM0744
363,Terneuzen,GM0715
364,Waalre,GM0866
365,Peel en Maas,GM1894
366,Bergeijk,GM1724
367,Valkenswaard,GM0858
368,Cranendonck,GM1706
369,Nederweert,GM0946
370,Leudal,GM1640
371,Beesel,GM0889
372,Weert,GM0988
373,Roermond,GM0957
374,Maasgouw,GM1641
375,Roerdalen,GM1669
376,Echt-Susteren,GM1711
377,Sittard-Geleen,GM1883
378,Stein,GM0971
379,Onderbanken,GM0881
380,Schinnen,GM0962
381,Brunssum,GM0899
382,Beek,GM0888
383,Meerssen,GM0938
384,Heerlen,GM0917
385,Landgraaf,GM0882
386,Nuth,GM0951
387,Maastricht,GM0935
388,Kerkrade,GM0928
389,Voerendaal,GM0986
390,Valkenburg aan de Geul,GM0994
391,Simpelveld,GM0965
392,Eijsden-Margraten,GM1903
393,Gulpen-Wittem,GM1729
394,Vaals,GM0981
395,Hollands Kroon,GM1911
396,Schagen,GM0441
397,Molenwaard,GM1927
398,Goeree-Overflakkee,GM1924
399,Heerenveen,GM0074
400,Súdwest-Fryslân,GM1900
401,Leeuwarden,GM0080
402,De Friese Meren,GM1921
403,Alphen aan den Rijn,GM0484
