Doetinchem,87999,97684,87688,88674,101787,97001,100757,105672,100377
Dongen,22107,20512,20159,19679,25655,23178,23335,23593,21936
Dongeradeel,42622,42780,42031,43923,38459,37558,36319,39085,36880
Dordrecht,246810,278101,282292,257728,279596,276923,285424,273805,266844
Drechterland,37616,34617,38156,38187,36516,34415,32634,32001,27526
Drimmelen,45221,44705,67662,68137,70533,68707,71831,69887,71330
Dronten,101679,104761,119883,137219,129591,127322,129899,124588,115391
Druten,42021,45228,46221,43600,45482,49694,49310,54038,49267
Duiven,47761,57249,65855,63965,72128,67177,67602,64069,62921
Echt-Susteren,88876,95759,139670,133530,128667,124186,131425,131476,129007
Edam-Volendam,22756,22027,23390,21290,25083,23327,22929,23027,22608
Ede,232168,257721,279016,381585,299337,309393,331285,319946,304533
Eemnes,46255,55709,70385,78684,75038,76666,76722,77403,74717
Eemsmond,34922,33316,34846,38447,40454,42923,40130,45701,57560
Eersel,46697,55291,57413,59980,63551,68034,66905,69372,67510
Eijsden-Margraten,37828,41319,42723,43411,47642,42241,46064,43162,40557
Eindhoven,235282,268868,333366,341649,407636,405824,432608,439158,428058
Elburg,52997,57794,63969,68337,57721,58612,60564,56286,53400
Emmen,142194,145903,132623,141763,152384,146687,150470,152670,158403
Enkhuizen,18563,17797,22617,23839,19069,19087,19035,19362,14801
Enschede,159263,168601,151552,155721,183311,163610,166428,164125,164367
Epe,91150,106728,104842,110982,100812,99588,104559,100039,95707
Ermelo,55304,59917,64023,61062,62408,63192,63156,59243,56487
Etten-Leur,64530,65372,67205,78310,81924,87131,90118,87852,87281
Ferwerderadiel,18290,17602,17628,18753,14229,14019,14189,14758,16094
Franekeradeel,38659,38225,36658,36262,35696,35608,35948,35294,37777
Geertruidenberg,51115,64927,75378,70520,84566,82902,83720,79712,77723
Geldermalsen,114625,139835,174645,176111,184846,179411,199136,204856,195619
Geldrop-Mierlo,44277,47264,73628,68270,81001,74956,73421,82946,79188
Gemert-Bakel,49658,47811,43300,51819,47045,44021,43877,41760,41142
Gennep,34227,32344,38891,44572,36516,35265,34519,36233,35480
Giessenlanden,52286,60092,55366,52956,60327,57798,59984,56421,56421
Gilze en Rijen,59322,66625,80947,76051,78486,77926,81812,80517,77412
Goeree-Overflakkee,110058,108267,152788,156901,146885,154414,141868,150118,149360
Goes,72304,76586,86093,109664,88965,89882,96077,95932,97543
Goirle,20962,19400,19814,21330,23958,21548,21667,21735,20575
Gorinchem,76938,95517,114537,105080,124515,119557,127151,121761,113757
Gouda,54252,53381,49652,53311,57279,50401,50878,52746,48541
Grave,19535,19490,18557,21457,16952,15992,15784,15967,15694
Groesbeek,84558,85203,83619,88417,69870,81904,76546,85001,85480
Groningen,212331,220607,233124,244436,231793,219314,221105,234494,230171
Grootegast,23675,24093,27107,28495,20998,20373,20335,18108,16985
Gulpen-Wittem,25949,24187,24179,33485,30220,24473,23790,23399,24123
Haaksbergen,42475,49421,42894,44882,42395,40221,37188,40102,35429
Haaren,35219,34697,32289,34850,34390,35156,28159,29784,29048
Haarlem,132082,126243,112950,112208,114757,109645,111298,110971,117629
Haarlemmerliede c.a.,42717,46615,51292,54103,51201,52806,55273,56816,53439
Haarlemmermeer,423061,475448,587205,603250,673073,700187,648379,669075,677213
Halderberge,50153,55113,64056,86119,64761,60283,65103,63301,61545
Hardenberg,121266,137200,141137,157247,137840,135217,133252,119560,114098
Harderwijk,63735,70525,94525,90691,91876,96563,99156,96738,93938
Hardinxveld-Giessendam,62396,78965,80630,70036,88215,85862,90602,86929,79102
Haren,32361,34720,43340,39757,40663,40882,43921,41854,41916
Harlingen,19156,18558,22024,23306,19598,19327,18795,28571,32347
Hattem,34093,42657,63117,82631,71779,73047,65463,69149,65078
Heemskerk,50634,50460,38332,38579,42538,44052,46027,46122,43488
Heemstede,21515,19308,16613,15550,21708,20283,19827,19693,19333
Heerde,56207,65973,65546,64473,59903,61671,66522,64069,59799
Heerenveen,87525,96198,113671,122012,120377,132750,124632,137435,144491
Heerhugowaard,51869,50316,56223,66186,79295,68163,67752,68320,64484
Heerlen,123634,132879,113200,145095,181874,166582,159530,158215,153017
Heeze-Leende,64162,81225,58363,57940,62274,63662,66391,64721,59148
Heiloo,45379,45930,31628,31511,35510,35510,38198,36905,34815
Hellendoorn,57962,61149,47474,48083,53217,49292,45679,48850,45228
Hellevoetsluis,42585,39204,39722,39890,44473,46201,42756,40014,44295
Helmond,69143,66929,63128,70068,96537,88800,98373,101371,99868
Hendrik-Ido-Ambacht,45154,51579,49236,52561,57634,49470,57560,48598,49903
Hengelo,91859,102389,116891,120913,138032,137219,149251,133030,131052
het Bildt,16833,16169,17718,18538,13800,12642,12739,12067,13582
Heumen,40124,46323,60490,61055,56306,53949,60990,60750,60114
Heusden,72743,87419,96590,97617,96565,96270,103074,101967,98129
Hillegom,18770,19399,18904,18144,19006,15559,16689,17394,16002
Hilvarenbeek,34511,34346,32395,38694,35510,33923,33855,33190,32086
Hilversum,108445,116201,94341,98808,109786,106156,108605,105033,100608
Hof van Twente,84492,87201,86374,99887,76687,73567,75596,77876,66479
Hollands Kroon,131872,137007,166223,167878,160502,165535,161387,157738,156889
Hoogeveen,97425,111528,121504,126154,133878,132980,141795,135473,133595
Hoogezand-Sappemeer,49105,44859,47293,50058,49505,47740,49203,46363,46379
Hoorn,47922,45676,47767,50423,57875,58392,57792,57323,55272
Horst aan de Maas,79593,76120,123710,111477,114729,109140,115004,115327,111058
Houten,72476,80121,80732,91244,93512,97587,86987,92327,89439
Huizen,39665,37845,44194,41926,49307,49507,46784,48454,47191
Hulst,68140,65436,82723,82824,107684,129028,129887,136985,118279
IJsselstein,21419,22076,25815,30569,29051,28807,28379,31847,30105
Kaag en Braassem,85657,90208,114182,112328,107655,112586,98369,110597,111228
Kampen,76233,72300,79670,81275,99637,92823,90860,89940,85219
Kapelle,35585,37783,53980,53976,50148,50679,53911,54779,54272
Katwijk,55208,49693,51315,53945,46090,43925,42806,44096,45640
Kerkrade,45846,41629,40711,37274,44308,37422,37646,37209,37297
Koggenland,59286,63320,85959,83509,85200,83437,88347,85270,84205
Kollumerland c.a.,22714,21610,21539,23049,21646,20350,20447,20003,20273
Korendijk,21272,19665,16015,15927,18513,17555,17417,17074,15153
Krimpen aan den IJssel,23830,22053,20904,19043,18693,16303,16545,15724,18335
Krimpenerwaard,94943,90650,106424,103262,106009,94401,96464,93817,114043
Laarbeek,31937,32799,34431,47626,44970,42054,43203,41900,40309
Landerd,48528,48728,56404,63271,60999,60049,62629,62996,63022
Landgraaf,34636,32068,32235,32947,36763,33506,30819,30875,29436
Landsmeer,17593,21306,7823,8828,8742,8313,9188,8579,9987
Langedijk,31568,27831,28374,31966,32320,32337,30492,29159,25946
Lansingerland,68177,66478,81427,86998,82420,74494,75071,82576,87711
Laren,44324,52190,57667,46658,54059,54311,50460,48232,48019
Leek,37597,54809,60216,59434,59932,59132,60718,61511,63583
Leerdam,20132,20339,17886,18965,20472,19037,19295,19272,19101
Leeuwarden,140923,137034,128681,139628,174195,172423,166643,164220,167028
Leeuwarderadeel,17970,16230,16691,17431,14252,13527,13693,13198,14021
Leiden,127861,130484,131114,134301,138048,141882,139287,142548,153021
Leiderdorp,37281,38189,46449,48137,50918,51293,44650,53259,53753
Leidschendam-Voorburg,113695,120658,138386,121574,134906,137538,131581,124717,129441
Lelystad,198873,212933,201464,248184,268268,280601,289184,287511,297885
Leudal,121969,122612,139294,171131,130534,124908,123768,124994,121894
Leusden,57079,53224,61638,57173,67718,68271,64328,64781,64637
Lingewaal,67704,82184,92339,85924,89402,94859,97641,96947,89158
Lingewaard,83010,83599,95272,98808,92009,92721,97790,93845,84182
Lisse,18258,18185,21379,24571,22073,19152,21344,21968,22327
Littenseradiel,27679,27751,27180,30099,27122,26791,24875,23810,26643
Lochem,84926,85439,95915,106780,82417,82177,78006,74230,70515
Loon op Zand,27134,26152,34079,34027,38700,38522,38733,36450,34554
Lopik,27612,28554,33038,38714,45067,46183,41012,43270,49261
Loppersum,34133,29109,26787,29267,21105,20471,19608,20869,22768
Losser,37712,40403,51336,54742,53286,44198,51938,43526,42703
Maasdriel,87661,96507,111741,110826,108116,114760,120618,120622,112948
Maasgouw,57956,66729,78396,71474,71031,66432,66798,70575,73300
Maassluis,35265,32891,25092,24418,22344,20300,19068,22076,23122
Maastricht,123911,127675,113493,147127,131201,132577,133661,135515,127448
Marum,38376,53498,56802,65847,63518,64946,70174,63915,67139
Medemblik,72630,70987,79779,85148,96526,96341,93478,90275,86286
Meerssen,32199,33843,39801,33137,36675,36665,39167,38483,38045
Menameradiel,32296,31840,36131,39834,35896,36334,35400,34049,36504
Menterwolde,31090,34361,38459,42157,40324,41194,39951,38146,41118
Meppel,39853,42636,68733,72008,73212,74327,79468,76337,76263
Middelburg,55983,55406,55054,53560,55360,54318,54560,59685,59556
Midden-Delfland,43814,49043,63764,62125,57667,59564,58960,56055,54321
Midden-Drenthe,119583,137425,156419,149321,138862,140248,139552,135170,134556
Mill en Sint Hubert,19162,18429,19788,22091,18698,17637,18962,18787,18208
Moerdijk,169756,215927,320041,333075,318134,319704,332050,327469,339466
Molenwaard,64349,61955,68506,74899,71303,66311,65629,66782,82690
Montferland,59609,62026,66850,70617,58407,56015,58128,56408,54911
Montfoort,22136,20591,26254,27261,25160,20432,20489,21440,22159
Mook en Middelaar,14153,13185,11546,14568,8348,7790,8190,7794,7906
Muiden,70034,80700,130573,123939,112328,116559,91870,104072,107441
Naarden,59893,68466,85867,82378,84483,87142,78875,81010,79306
Neder-Betuwe,113089,129973,171656,165496,157187,155304,182089,177164,160778
Nederweert,34569,35869,30044,50166,34554,31179,31881,31212,28399
Neerijnen,104036,108074,114254,120900,104379,113382,122949,120544,109727
Nieuwegein,123465,135146,150339,146150,168183,169277,152814,159217,159278
Nieuwkoop,40732,39935,42357,53521,47034,38965,36246,35589,35732
Nijkerk,73564,83673,85262,87272,81992,85441,86100,79680,80830
Nijmegen,182906,190268,186407,177142,235395,233393,237793,247398,238648
Nissewaard,107046,101495,88699,92327,85092,77958,79721,77078,83323
Noord-Beveland,27468,26634,27579,32788,28445,29771,26818,25798,25512
Noordenveld,55053,55847,55827,50806,52296,49297,48436,48148,47469
Noordoostpolder,164352,180387,205598,228786,237777,237361,239314,242767,230150
Noordwijk,26803,25000,25617,25466,27427,27716,26324,26487,27049
Noordwijkerhout,25703,24859,27142,31694,26803,24424,24467,24281,25563
Nuenen c.a.,26809,26795,28077,30769,43915,33152,38030,38969,35950
Nunspeet,74010,83037,90218,89777,87271,90122,89458,86662,81422
Nuth,32131,34356,33427,41698,38488,36311,37021,36814,35840
Oegstgeest,28163,29265,34277,32837,32407,32641,34097,35432,34267
Oirschot,68490,69177,109547,106570,111028,117917,119836,115780,110061
Oisterwijk,52474,55741,62185,62677,65584,69562,70128,65901,62074
Oldambt,89393,74800,87481,103570,93623,96042,88234,100883,91459
Oldebroek,72555,85176,86601,77744,79223,81015,81960,78715,74930
Oldenzaal,36280,32019,39746,41640,49784,40693,46115,35575,34869
Olst-Wijhe,44336,45155,43604,49105,38228,34681,35187,32641,30721
Ommen,49312,53431,58315,65175,64540,59775,58823,64954,62163
Onderbanken,9191,8772,10553,14061,10590,9598,9486,9600,9057
Oost Gelre,51112,55309,56819,60106,55902,53589,47009,48995,45687
